catalog_type_code,name_pl,name_ru,catalog_materials
plytka_scienna,płytka ścienna,Плитка настенная,69
plytka_scienno_podlogowa,płytka ścienno - podłogowa,Плитка настенно-напольная,53
plytka_podlogowa,płytka podłogowa,Плитка напольная,37
bezprzylgowe,Bezprzylgowe,Дверь скрытого притвора,33
bateria_umywalkowa,Bateria umywalkowa,Смеситель для умывальника,32
klamki_drzwi,Klamki drzwi,Дверные ручки,30
miska_wc,Miska WC,Унитаз (чаша),29
umywalka_nablatowa,Umywalka nablatowa,Умывальник накладной,25
oscieznica,Ośczieżnica,Дверная коробка,21
bateria_wannowo_prysznicowa_z_kompletem,Bateria wannowo-prysznicowa z kompletem natryskowym,Смеситель ванна-душ с душевым комплектом,18
umywalka_wpuszczana,Umywalka wpuszczana,Умывальник врезной,18
przycisk,Przycisk,Кнопка смыва,17
wanna,Wanna,Ванна,16
zestaw_prysznicowy,Zestaw prysznicowy,Душевой набор,14
rozety_drzwi,Rozety drzwi,Дверные розетки,10
umywalka_podblatowa,Umywalka podblatowa,Умывальник подстольный,10
laminat,Laminat,Ламинат,8
deska_jodelka,Deska jódełka,Доска ёлочка,8
winyl_jodelka,Winyl jódełka,Винил ёлочка,8
winyl,Winyl,Винил,8
styrodur,Styrodur,Стиродур (плинтус),8
sciana_kabina_prysznicowa,Ściana / kabina prysznicowa,Стенка / душевая кабина,7
stelaz_podtynkowy,Stelaż podtynkowy,Инсталляция скрытого монтажа,6
ukryte,Ukryte,Скрытая (дверь),5
winyl_prosty,Winyl prosty,Винил прямой,4
deska_prosta,Deska prosta,Доска прямая,4
parawan_nawannowy,Parawan nawannowy,Шторка на ванну,4
przylgowe,Przylgowe,Дверь притворная,4
brodzik_prysznicowy,Brodzik prysznicowy,Душевой поддон,4
brodzik_kabina,Brodzik + kabina,Поддон + кабина,3
podklad,Podkład,Подложка,3
odplyw_liniowy,Odpływ liniowy,Линейный трап,3
podklad_klej_grunt,"Podkład (klej, grunt)","Подложка (клей, грунт)",2
syfon_od_wanny,Syfon od wanny,Сифон для ванны,2
baterie_prysznicowe_wannowe,Baterie prysznicowe / wannowe,Смесители душевые/ванновые,2
akcesoria,Akcesoria,Аксессуары,1
umywalka_scienna_nablatowa,Umywalka ścienna-nablatowa,Умывальник настенный-накладной,1
umywalka_scienna,Umywalka ścienna,Умывальник настенный,1
