work_code,work,branch,missing_type,typical_in_cat
1.01,"Защита во время работы (окна, двери, транспортные пути)",construction,PIANKA_MONTAZOWA,2
1.01,"Защита во время работы (окна, двери, транспортные пути)",construction,TARCZA_TNACA,5
1.01,"Защита во время работы (окна, двери, транспортные пути)",construction,WOREK_NA_GRUZ,6
1.01,"Защита во время работы (окна, двери, транспортные пути)",construction,ZAPRAWA_NAPRAWCZA,4
1.02,Снос кирпичной стены,construction,PIANKA_MONTAZOWA,2
1.02,Снос кирпичной стены,construction,ZAPRAWA_NAPRAWCZA,4
1.03,Заделка пола и потолка после демонтажных работ,construction,PIANKA_MONTAZOWA,2
1.03,Заделка пола и потолка после демонтажных работ,construction,TARCZA_TNACA,5
1.03,Заделка пола и потолка после демонтажных работ,construction,WOREK_NA_GRUZ,6
1.04,Вентиляция - перенос отверстий,construction,TARCZA_TNACA,5
1.04,Вентиляция - перенос отверстий,construction,WOREK_NA_GRUZ,6
1.04,Вентиляция - перенос отверстий,construction,ZAPRAWA_NAPRAWCZA,4
1.05,Вентиляция - расширение отверстия,construction,PIANKA_MONTAZOWA,2
1.05,Вентиляция - расширение отверстия,construction,WOREK_NA_GRUZ,6
1.06,Вентиляция - регулировка (удлинение воздуховода),construction,TARCZA_TNACA,5
1.06,Вентиляция - регулировка (удлинение воздуховода),construction,WOREK_NA_GRUZ,6
1.07,"Заделка стен и потолков после штробы, выполненной сторонней компанией",construction,PIANKA_MONTAZOWA,2
1.07,"Заделка стен и потолков после штробы, выполненной сторонней компанией",construction,TARCZA_TNACA,5
1.07,"Заделка стен и потолков после штробы, выполненной сторонней компанией",construction,WOREK_NA_GRUZ,6
1.08,Разбитие и вынос стяжки,construction,PIANKA_MONTAZOWA,2
1.08,Разбитие и вынос стяжки,construction,ZAPRAWA_NAPRAWCZA,4
1.09,Демонтаж плитки,construction,PIANKA_MONTAZOWA,2
1.09,Демонтаж плитки,construction,ZAPRAWA_NAPRAWCZA,4
