branch,type_code,unit,uses,median_norm_qty
construction,AKRYL,l,18,0.0200
construction,AKRYL,szt,3,0.5000
construction,BATERIA_PODTYNKOWA,szt,3,1.0000
construction,BATERIA_PODTYNKOWA,kpl,3,1.0000
construction,BELKA_NADPROZOWA,szt,9,1.0000
construction,BLOCZEK_KOMORKOWY,szt,3,7.0000
construction,CYNA_LUTOWNICZA,kg,3,0.0040
finishing,FARBA,l,3,0.1000
finishing,FARBA_DEKORACYJNA,l,22,0.0950
finishing,FARBA_DEKORACYJNA_KOLOR,l,8,0.2000
finishing,FILC_SCIENNY,m2,3,1.0500
construction,FOLIA_OCHRONNA,m2,4,0.1000
finishing,FUGA_CEMENTOWA,kg,6,0.4000
finishing,FUGA_EPOKSYDOWA,kg,9,0.5000
construction,GIPS_SZYBKOWIAZACY,kg,24,0.2750
construction,GLADZ_GIPSOWA,kg,14,1.4000
construction,GLADZ_GOTOWA_MASA,kg,10,1.2000
construction,GLADZ_POLIMEROWA,kg,10,1.3000
construction,GRUNT_MALARSKI,l,21,0.1000
construction,GRUNT_UNIWERSALNY,l,21,0.1500
construction,HYDROIZOLACJA,kg,6,1.5000
construction,JASTRYCH_CEMENTOWY,kg,3,20.0000
construction,KABEL_ELEKTRYCZNY,mb,24,2.0000
construction,KATOWNIK_ALUMINIOWY,mb,12,1.0500
construction,KLEJ_DO_LUSTER,l,9,0.1000
finishing,KLEJ_DO_PLYTEK,kg,39,5.0000
construction,KLEJ_DO_PLYTEK,kg,6,3.2500
construction,KLEJ_DO_TAPET,kg,9,0.3500
construction,KLEJ_MONTAZOWY,l,20,0.0300
construction,KLEJ_MONTAZOWY,kg,12,0.0700
construction,KLEJ_MONTAZOWY,szt,10,0.2750
construction,KLEJ_SAMOPOZIOMUJACY,l,6,2.1000
construction,KLINY,szt,6,8.0000
construction,KOLKI,szt,12,5.0000
construction,KOLKI_SRUBY_MONTAZOWE,szt,21,1.0000
construction,KSZTALTKI_KANALIZACYJNE,szt,6,2.5000
construction,KSZTALTKI_PEX,szt,4,3.5000
construction,KSZTALTKI_PP,szt,4,3.5000
finishing,LAMELE_SCIENNE,m2,3,1.0500
finishing,LAMELE_SCIENNE,mb,3,1.0500
construction,LISTWA_DYLATACYJNA,szt,3,1.0000
construction,LISTWA_DYLATACYJNA,mb,3,1.0500
finishing,LISTWA_PRZYPODLOGOWA,mb,6,1.0500
construction,MASA_SPOINOWA,kg,39,0.5000
construction,MATERIALY_POMOCNICZE,szt,6,0.0200
construction,MATERIALY_POMOCNICZE,m2,3,0.1000
construction,MIESZANKA_BETONOWA,kg,3,25.0000
construction,NAROZNIK_OCHRONNY,szt,2,0.2000
construction,NAROZNIK_PAPIEROWY,mb,3,1.0500
construction,NARZEDZIE_DIAMENTOWE,szt,12,0.0500
construction,OBRZEZE,szt,3,1.0000
construction,ODPLYW_LINIOWY,szt,3,1.0000
construction,ODPLYW_PUNKTOWY,szt,3,1.0000
construction,PAKULY_PASTA,szt,6,0.1000
construction,PAPIER_SCIERNY,szt,18,0.2250
construction,PESZEL_RURKA,mb,15,1.5000
construction,PIANA_MONTAZOWA,szt,6,1.0000
construction,PIANKA_MONTAZOWA,l,7,0.1300
construction,PIANKA_MONTAZOWA,szt,4,1.0000
construction,PLYTA_GK,m2,33,0.8000
construction,PLYTA_GK_IMPREGNOWANA,m2,12,1.8250
construction,PLYTA_OSB,m2,3,1.0500
finishing,PODKLAD,l,2,0.0500
construction,PROFIL_GK,mb,44,2.6000
construction,PUSZKA_PODTYNKOWA,szt,33,1.0000
construction,RURA_KANALIZACYJNA_PVC,mb,6,1.2500
construction,RURA_PEX,mb,2,2.5000
