branch,type_code,gap_class,empty_norm_rows
finishing,FUGA_CEMENTOWA,A_no_material_at_all,84
finishing,FUGA_EPOKSYDOWA,A_no_material_at_all,84
finishing,KLEJ_DO_PLYTEK,A_no_material_at_all,78
finishing,FARBA_DEKORACYJNA,A_no_material_at_all,55
finishing,LAMELE_SCIENNE,A_no_material_at_all,54
finishing,SZTUKATERIA,A_no_material_at_all,54
finishing,FARBA_DEKORACYJNA_KOLOR,A_no_material_at_all,53
finishing,LISTWA_PRZYPODLOGOWA,A_no_material_at_all,30
finishing,TYNK_DEKORACYJNY,A_no_material_at_all,3
finishing,FARBA,A_no_material_at_all,3
finishing,FILC_SCIENNY,A_no_material_at_all,3
finishing,SILIKON,A_no_material_at_all,3
finishing,TAPETA_FLIZELINOWA,A_no_material_at_all,3
finishing,TAPETA_WINYLOWA,A_no_material_at_all,3
finishing,PODKLAD,A_no_material_at_all,2
finishing,TASMA_MALARSKA,A_no_material_at_all,2
construction,PLYTA_GK_IMPREGNOWANA,B_material_exists_wrong_package,28
construction,PAKULY_PASTA,B_material_exists_wrong_package,21
construction,PIANKA_MONTAZOWA,B_material_exists_wrong_package,19
construction,GLADZ_POLIMEROWA,B_material_exists_wrong_package,12
construction,GLADZ_GOTOWA_MASA,B_material_exists_wrong_package,12
construction,BATERIA_PODTYNKOWA,B_material_exists_wrong_package,11
construction,TASMA_DWUSTRONNA,B_material_exists_wrong_package,9
construction,KSZTALTKI_PP,B_material_exists_wrong_package,8
construction,KSZTALTKI_PEX,B_material_exists_wrong_package,8
construction,ODPLYW_LINIOWY,B_material_exists_wrong_package,1
