type_code,package,model,unit,price_gross_pln,price_basis,retailer,link,source
# Web-researched (castorama.pl, headless Playwright, 2026-09-20) products for the 16 finishing types with 0 catalog materials.
# price_basis: szt=per piece, m=per running metre, l=per litre, m2=per square metre. price_gross_pln = observed shelf (brutto) price.
# For types already covered by norms CSV refs (10-...csv) with real producer links, those refs are reused verbatim and marked source=norms-csv.
# --- TASMA_MALARSKA (new web) ---
TASMA_MALARSKA,budget,Taśma malarska Mako 30 mm x 50 m,szt,4.98,szt,castorama,https://www.castorama.pl/tasma-malarska-mako-30-mm-x-50-m/5907652120443_CAPL.prd,web-castorama
TASMA_MALARSKA,norm,Taśma malarska Scley niebieska 38 mm x 50 m,szt,17.98,szt,castorama,https://www.castorama.pl/tasma-malarska-scley-niebieska-38-mm-x-50-m/5905061104276_CAPL.prd,web-castorama
TASMA_MALARSKA,lux,Taśma malarska Tesa niebieska 50 mm x 50 m,szt,29.98,szt,castorama,https://www.castorama.pl/tasma-malarska-tesa-niebieska-50-mm-x-50-m/4042448281043_CAPL.prd,web-castorama
# --- TAPETA_FLIZELINOWA (new web) ---
TAPETA_FLIZELINOWA,budget,Tapeta flizelinowa Jad szara,m2,5.20,m,castorama,https://www.castorama.pl/tapeta-flizelinowa-jad-szara/5059340409498_CAPL.prd,web-castorama
TAPETA_FLIZELINOWA,norm,Tapeta flizelinowa GoodHome Onagre biała,m2,6.00,m,castorama,https://www.castorama.pl/tapeta-flizelinowa-goodhome-onagre-biala/3663602562474_CAPL.prd,web-castorama
TAPETA_FLIZELINOWA,lux,Tapeta flizelinowa GoodHome Lolite kremowa,m2,7.70,m,castorama,https://www.castorama.pl/tapeta-flizelinowa-goodhome-lolite-kremowa/5059340409436_CAPL.prd,web-castorama
# --- TAPETA_WINYLOWA (new web) ---
TAPETA_WINYLOWA,budget,Tapeta winylowa na flizelinie Beton beżowy,m2,4.30,m,castorama,https://www.castorama.pl/tapeta-winylowa-na-flizelinie-beton-bezowy/4000441939538_CAPL.prd,web-castorama
TAPETA_WINYLOWA,norm,Tapeta winylowa na flizelinie GoodHome Tille beżowa,m2,5.20,m,castorama,https://www.castorama.pl/tapeta-winylowa-na-flizelinie-goodhome-tille-bezowa/3663602559276_CAPL.prd,web-castorama
TAPETA_WINYLOWA,lux,Tapeta winylowa na flizelinie GoodHome Drave beżowa,m2,9.00,m,castorama,https://www.castorama.pl/tapeta-winylowa-na-flizelinie-goodhome-drave-bezowa/3663602560159_CAPL.prd,web-castorama
# --- FILC_SCIENNY (new web; PL market sells as lamele-on-felt panels) ---
FILC_SCIENNY,budget,Lamel ścienny na czarnym filcu Marbet WOODLINE SLIM 270x30 cm,szt,69.99,szt,castorama,https://www.castorama.pl/departments/lamel-cienny-na-czarnym-filcu-6l-marbet-design-woodline-slim-270x30-cm-loft-1-szt-/5904617323598_CAPL.prd,web-castorama
FILC_SCIENNY,norm,Lamel ścienny na filcu Radex 265 x 24.5 cm dąb Saragossa,szt,118.00,szt,castorama,https://www.castorama.pl/lamel-scienny-na-filcu-radex-265-x-24-5-cm-dab-saragossa/5905982391052_CAPL.prd,web-castorama
FILC_SCIENNY,lux,Panel lamelowy ścienny na filcu Flat MDF 40 x 260 cm kaszmir,m2,151.92,m2,castorama,https://www.castorama.pl/panel-lamelowy-scienny-na-filcu-flat-mdf-40-x-260-cm-kaszmir/5906295190196_CAPL.prd,web-castorama
# --- PODKLAD (new web; universal primer/grunt) ---
PODKLAD,budget,Emulsja gruntująca Volden 5 l,l,14.98,szt,castorama,https://www.castorama.pl/emulsja-gruntujaca-volden-5-l/5906340222544_CAPL.prd,web-castorama
PODKLAD,norm,Grunt uniwersalny Knauf 5 l,l,35.48,szt,castorama,https://www.castorama.pl/grunt-uniwersalny-knauf-5-l/5901793357737_CAPL.prd,web-castorama
PODKLAD,lux,Grunt głęboko penetrujący Ceresit CT17 5 l,l,51.98,szt,castorama,https://www.castorama.pl/grunt-gleboko-penetrujacy-ceresit-ct17-5-l/5900089617050_CAPL.prd,web-castorama
# --- FARBA (partial web; needs cheaper budget white) ---
FARBA,norm,Farba lateksowa Beckers Interio Pro biała 5 l,l,148.00,szt,castorama,https://www.castorama.pl/farba-lateksowa-beckers-interio-pro-biala-5-l/7311237111708_CAPL.prd,web-castorama
FARBA,lux,Farba Lateksowa Premium Q-Cover Super Biała Głęboki Mat 5L,l,160.08,szt,castorama,https://www.castorama.pl/departments/farba-lateksowa-premium-plamoodporna-do-cian-i-sufit-w-q-cover-super-bia-a-g-boki-mat-5l/5905748028116_CAPL.prd,web-castorama
