work_code,work_pl,work_unit,branch,material_type,material_ref,material_unit,norm_qty,packages,waste_pct,justification_pl,justification_ru,source_type,source_doc,source_url,source_ref
1.01,,,construction,PIANKA_MONTAZOWA,,l,0.1300,"budget,norm,lux",0,auto-fill (norma iz patterna kategorii); review,auto-fill (norma iz patterna kategorii); review,auto,AUTO-FILL FOR-04-20,,AUTO-FILL-FOR-04-20
1.01,,,construction,TARCZA_TNACA,,szt,0.0350,"budget,norm,lux",0,auto-fill (norma iz patterna kategorii); review,auto-fill (norma iz patterna kategorii); review,auto,AUTO-FILL FOR-04-20,,AUTO-FILL-FOR-04-20
1.01,,,construction,WOREK_NA_GRUZ,,szt,0.0500,"budget,norm,lux",0,auto-fill (norma iz patterna kategorii); review,auto-fill (norma iz patterna kategorii); review,auto,AUTO-FILL FOR-04-20,,AUTO-FILL-FOR-04-20
1.01,,,construction,ZAPRAWA_NAPRAWCZA,,kg,2.0000,"budget,norm,lux",0,auto-fill (norma iz patterna kategorii); review,auto-fill (norma iz patterna kategorii); review,auto,AUTO-FILL FOR-04-20,,AUTO-FILL-FOR-04-20
1.02,,,construction,PIANKA_MONTAZOWA,,l,0.1300,"budget,norm,lux",0,auto-fill (norma iz patterna kategorii); review,auto-fill (norma iz patterna kategorii); review,auto,AUTO-FILL FOR-04-20,,AUTO-FILL-FOR-04-20
1.02,,,construction,ZAPRAWA_NAPRAWCZA,,kg,2.0000,"budget,norm,lux",0,auto-fill (norma iz patterna kategorii); review,auto-fill (norma iz patterna kategorii); review,auto,AUTO-FILL FOR-04-20,,AUTO-FILL-FOR-04-20
1.03,,,construction,PIANKA_MONTAZOWA,,l,0.1300,"budget,norm,lux",0,auto-fill (norma iz patterna kategorii); review,auto-fill (norma iz patterna kategorii); review,auto,AUTO-FILL FOR-04-20,,AUTO-FILL-FOR-04-20
1.03,,,construction,TARCZA_TNACA,,szt,0.0350,"budget,norm,lux",0,auto-fill (norma iz patterna kategorii); review,auto-fill (norma iz patterna kategorii); review,auto,AUTO-FILL FOR-04-20,,AUTO-FILL-FOR-04-20
1.03,,,construction,WOREK_NA_GRUZ,,szt,0.0500,"budget,norm,lux",0,auto-fill (norma iz patterna kategorii); review,auto-fill (norma iz patterna kategorii); review,auto,AUTO-FILL FOR-04-20,,AUTO-FILL-FOR-04-20
1.04,,,construction,TARCZA_TNACA,,szt,0.0350,"budget,norm,lux",0,auto-fill (norma iz patterna kategorii); review,auto-fill (norma iz patterna kategorii); review,auto,AUTO-FILL FOR-04-20,,AUTO-FILL-FOR-04-20
