name_pl,name_ru,type,producer,seller,packages,unit,currency,purchase_price,retail_gross,retail_net,website,price_source_ref,justification_pl,justification_ru
Silikon sanitarny octowy Den Braven (310ml),Санитарный силикон уксусный Den Braven (310мл),SILIKON_SANITARNY,Den Braven,PSB Mrówka,budget,szt,PLN,11.50,17.99,14.63,https://www.den-braven.pl/silikon-sanitarny-500,"karta produktu Den Braven silikon sanitarny (octowy, 310ml), cena netto ~14.6 PLN/szt","Budżetowy jednoskładnikowy silikon sanitarny octowy z fungicydem do uszczelniania biały montaż (wanna, brodzik, umywalka); standard rynku PL, ~1 kartusz na fugę obwodową urządzenia.","Бюджетный однокомпонентный уксусный санитарный силикон с фунгицидом для уплотнения при чистовой сантехнике (ванна, поддон, умывальник); стандарт польского рынка, ~1 картридж на обводной шов прибора."
Silikon sanitarny Soudal Silirub S (300ml),Санитарный силикон Soudal Silirub S (300мл),SILIKON_SANITARNY,Soudal,Leroy Merlin,"norm,lux",szt,PLN,16.80,25.99,21.13,https://www.soudal.at/pro/produkte/dichtstoffe/silikon/silirub-s,"karta techniczna Soudal Silirub S (silikon sanitarny do pom. mokrych, 300ml), cena netto ~21 PLN/szt","Trwale elastyczny silikon sanitarny Soudal Silirub S do fug przyłączeniowych armatury i urządzeń w pomieszczeniach mokrych, odporny na pleśń; wariant norm/lux o stabilnej jakości fugi.","Постоянно эластичный санитарный силикон Soudal Silirub S для примыкающих швов арматуры и приборов во влажных помещениях, устойчив к плесени; вариант norm/lux со стабильным качеством шва."
Taśma teflonowa uszczelniająca 12mm x 12m,Тефлоновая уплотнительная лента 12мм x 12м,TASMA_TEFLONOWA,Tytan,Castorama,"budget,norm",szt,PLN,1.60,2.49,2.02,https://fachowiec.com/sklep/products/9309702_tasma_teflonowa_12m_x_12mm_x_0.1mm_miditape,"karta produktu taśma teflonowa PTFE 12m x 12mm, cena netto ~2 PLN/szt (rolka)","Taśma teflonowa PTFE do uszczelniania połączeń gwintowanych baterii i zaworów; ~1 rolka wystarcza na kilka przyłączy, standard biały montaż.","Тефлоновая лента PTFE для уплотнения резьбовых соединений смесителей и вентилей; ~1 рулона хватает на несколько подключений, стандарт чистовой сантехники."
Taśma teflonowa gruba do gwintów 19mm x 15m,Тефлоновая лента толстая для резьбы 19мм x 15м,TASMA_TEFLONOWA,Soudal,Leroy Merlin,lux,szt,PLN,3.90,6.09,4.95,https://www.leroymerlin.pl/hydraulika/uszczelnienia-hydrauliczne,"katalog Leroy Merlin uszczelnienia hydrauliczne, taśma teflonowa gruba, cena netto orientacyjna","Grubsza taśma teflonowa do gwintów wodnych, pewniejsze uszczelnienie połączeń armatury; wariant lux, ~1 rolka na kilka przyłączy.","Более толстая тефлоновая лента для водяных резьб, более надёжное уплотнение соединений арматуры; вариант lux, ~1 рулона на несколько подключений."
Pakuły lniane z pastą uszczelniającą (zestaw),Лён сантехнический с уплотнительной пастой (набор),PAKULY_PASTA,Tycner,PSB Mrówka,"norm,lux",szt,PLN,12.00,18.49,15.03,https://www.tycner.com.pl/pl/c/Uszczelnienia/54,"katalog Tycner uszczelnienia (pakuły + pasta), cena netto orientacyjna za zestaw","Pakuły lniane z pastą uszczelniającą do gwintów metalowych przy podłączeniu grzejników i zaworów; zestaw starcza na wiele połączeń, wariant norm/lux.","Льняная подмотка с уплотнительной пастой для металлических резьб при подключении радиаторов и вентилей; набора хватает на много соединений, вариант norm/lux."
Wężyk przyłączeniowy w oplocie 1/2 x 3/8 (50cm),Гибкая подводка в оплётке 1/2 x 3/8 (50см),WEZYK_PRZYLACZENIOWY,Tycner,PSB Mrówka,budget,szt,PLN,5.40,8.39,6.82,https://www.tycner.com.pl/pl/c/Wezyki-w-oplocie/40,"katalog Tycner wężyki w oplocie 1/2 x 3/8, cena netto ~6.8 PLN/szt","Budżetowy elastyczny wężyk przyłączeniowy w oplocie stalowym do baterii/zaworu; 2 szt na baterię (ciepła/zimna), standard biały montaż.","Бюджетная гибкая подводка в стальной оплётке для смесителя/вентиля; 2 шт на смеситель (горячая/холодная), стандарт чистовой сантехники."
Wężyk przyłączeniowy w oplocie inox 1/2 x 3/8 (50cm),Гибкая подводка inox 1/2 x 3/8 (50см),WEZYK_PRZYLACZENIOWY,Kan,Leroy Merlin,"norm,lux",szt,PLN,9.20,14.29,11.62,https://www.leroymerlin.pl/hydraulika/przewody-i-weze-przylaczeniowe,"katalog Leroy Merlin przewody i węże przyłączeniowe (oplot inox), cena netto orientacyjna","Wężyk przyłączeniowy w oplocie ze stali nierdzewnej do baterii i urządzeń; wyższa trwałość, wariant norm/lux, 2 szt na baterię.","Гибкая подводка в оплётке из нержавеющей стали для смесителей и приборов; выше долговечность, вариант norm/lux, 2 шт на смеситель."
Zawór kątowy 1/2 x 3/8 z filtrem,Угловой вентиль 1/2 x 3/8 с фильтром,ZAWOR_KATOWY,Tycner,PSB Mrówka,budget,szt,PLN,9.80,15.19,12.35,https://www.tycner.com.pl/pl/c/Zawory-katowe/38,"katalog Tycner zawory kątowe 1/2 x 3/8, cena netto ~12.4 PLN/szt","Budżetowy zawór kątowy z filtrem do podłączenia baterii/spłuczki; standardowy element biały montaż, 1-2 szt na punkt poboru.","Бюджетный угловой вентиль с фильтром для подключения смесителя/бачка; стандартный элемент чистовой сантехники, 1-2 шт на точку водоразбора."
Zawór kątowy 1/2 x 3/8 chromowany,Угловой вентиль 1/2 x 3/8 хромированный,ZAWOR_KATOWY,Kan,Leroy Merlin,"norm,lux",szt,PLN,15.50,23.99,19.50,https://www.leroymerlin.pl/hydraulika/zawory-i-glowice,"katalog Leroy Merlin zawory i głowice, zawór kątowy chromowany 1/2 x 3/8, cena netto orientacyjna","Chromowany zawór kątowy z głowicą ceramiczną do estetycznego podłączenia armatury; wariant norm/lux, 1-2 szt na punkt poboru.","Хромированный угловой вентиль с керамической головкой для эстетичного подключения арматуры; вариант norm/lux, 1-2 шт на точку водоразбора."
Zestaw montażowy kołki + śruby do ceramiki (kpl),Монтажный комплект дюбели + винты для керамики (компл.),KOLKI_SRUBY_MONTAZOWE,Tytan,Castorama,"budget,norm,lux",szt,PLN,4.20,6.49,5.28,https://www.castorama.pl/produkty/instalacje/hydraulika,"katalog Castorama hydraulika, zestaw montażowy do ceramiki (kołki + śruby + rozety), cena netto orientacyjna","Zestaw kołków rozporowych i śrub z podkładkami do mocowania ceramiki i akcesoriów sanitarnych do ściany; 1 komplet na element mocowany.","Комплект распорных дюбелей и винтов с шайбами для крепления керамики и сантехнических аксессуаров к стене; 1 комплект на закрепляемый элемент."
