name_pl,name_ru,type,producer,seller,packages,unit,currency,purchase_price,retail_gross,retail_net,website,price_source_ref,justification_pl,justification_ru
Puszka podtynkowa pojedyncza fi60,Подрозетник одинарный fi60,PUSZKA_PODTYNKOWA,Elektro-Plast,PSB Mrówka,budget,szt,PLN,0.55,0.99,0.80,https://www.elektro-plast.eu/,"katalog Elektro-Plast osprzet instalacyjny (puszki podtynkowe), cena netto orientacyjna za szt","Puszka podtynkowa pojedyncza fi60 do osadzenia w murze z bloczków lub w płycie GK, budżetowy standard osprzętu instalacyjnego PL.","Одинарный подрозетник fi60 для посадки в кладке из блоков или в листе ГК, бюджетный стандарт монтажного оснащения польского рынка."
Puszka podtynkowa pogłębiana fi60,Подрозетник углублённый fi60,PUSZKA_PODTYNKOWA,Elektro-Plast,Leroy Merlin,"norm,lux",szt,PLN,0.90,1.45,1.18,https://www.elektro-plast.eu/,"katalog Elektro-Plast puszki podtynkowe pogłębiane (wariant do żelbetu/multimediów), cena netto orientacyjna za szt","Puszka podtynkowa pogłębiana fi60 z uchwytami na wkręty, wariant norm/lux do gniazd sieciowych i osadzania w żelbecie.","Углублённый подрозетник fi60 с креплением под винты, вариант norm/lux для сетевых розеток и посадки в железобетоне."
Przewód YDYp 3x1.5 750V,Кабель YDYp 3x1.5 750В,KABEL_ELEKTRYCZNY,Elektro-kabel/Bitner,PSB Mrówka,"budget,norm",mb,PLN,2.60,4.05,3.29,https://www.aks-zielonka.pl/ydyp-450-750v/,"karta katalogowa YDYp 450/750V (Elektrokabel), przewód instalacyjny 3x1.5, cena netto orientacyjna za mb","Płaski przewód instalacyjny YDYp 3x1.5 mm2 z żyłami miedzianymi do układania pod tynkiem, zasilanie obwodów oświetlenia i łączników, wariant budżetowo-normowy.","Плоский установочный кабель YDYp 3x1.5 мм2 с медными жилами для скрытой прокладки, питание цепей освещения и выключателей, бюджетно-нормовый вариант."
Przewód YDYp 3x2.5 750V,Кабель YDYp 3x2.5 750В,KABEL_ELEKTRYCZNY,Elektro-kabel/Bitner,Leroy Merlin,"norm,lux",mb,PLN,4.10,6.39,5.20,https://www.aks-zielonka.pl/ydyp-450-750v/,"karta katalogowa YDYp 450/750V (Elektrokabel), przewód instalacyjny 3x2.5, cena netto orientacyjna za mb","Płaski przewód instalacyjny YDYp 3x2.5 mm2 do obwodów gniazd 220V i zasilania odbiorników mocy, wariant norm/lux o większym przekroju.","Плоский установочный кабель YDYp 3x2.5 мм2 для цепей розеток 220В и питания силовых потребителей, вариант norm/lux с большим сечением."
Peszel karbowany RL fi16,Гофра-труба RL fi16,PESZEL_RURKA,Elektro-Plast,Castorama,"budget,norm,lux",mb,PLN,0.70,1.09,0.89,https://www.castorama.pl/s/rurka?Marka=Elektro-Plast,"katalog Castorama rurki instalacyjne Elektro-Plast (peszel/rurka RL fi16), cena netto orientacyjna za mb","Karbowana rurka osłonowa RL fi16 (peszel) do prowadzenia przewodów w bruzdach i pod tynkiem, ochrona mechaniczna kabla, we wszystkich pakietach.","Гофрированная защитная труба RL fi16 (пешель) для прокладки проводов в штробах и под штукатуркой, механическая защита кабеля, во всех пакетах."
Gips szybkowiążący do osadzeń 5kg,Гипс быстротвердеющий монтажный 5кг,GIPS_SZYBKOWIAZACY,Knauf,PSB Mrówka,"budget,norm,lux",kg,PLN,2.10,3.29,2.67,https://knauf.com/de-DE/p/produkt/rotband-10286_0010,"karta produktu Knauf gips szybkowiążący (rodzina montażowa), worek 5 kg, cena netto orientacyjna za kg","Gips szybkowiążący do osadzania puszek podtynkowych i mocowania peszla w bruzdach oraz punktowego łatania, szybkie wiązanie, standard PL.","Быстротвердеющий гипс для посадки подрозетников и фиксации гофры в штробах, а также точечной заделки, быстрое схватывание, стандарт польского рынка."
Zaprawa montażowa szybkowiążąca 25kg,Монтажный быстротвердеющий раствор 25кг,ZAPRAWA_MONTAZOWA,Atlas,Castorama,"norm,lux",kg,PLN,1.20,1.89,1.54,https://www.atlas.com.pl,"karta produktu Atlas zaprawa montazowa/szybkosprawna, worek 25 kg, cena netto orientacyjna za kg","Szybkowiążąca zaprawa cementowa do zatynkowania bruzd kablowych w żelbecie i osadzeń w twardym podłożu, wariant norm/lux, standard PL.","Быстротвердеющий цементный раствор для заделки кабельных штроб в железобетоне и посадок в твёрдом основании, вариант norm/lux, стандарт польского рынка."
Klej samopoziomujący cienkowarstwowy do mat grzewczych 25kg,Клей самовыравнивающий тонкослойный под маты 25кг,KLEJ_SAMOPOZIOMUJACY,Atlas,Leroy Merlin,"budget,norm,lux",l,PLN,1.90,2.99,2.43,https://www.atlas.com.pl,"karta produktu Atlas klej/masa do zatapiania mat grzewczych, sekcja zuzycie cienka warstwa, cena netto orientacyjna (przeliczono na l zaczynu)","Elastyczny klej/masa cienkowarstwowa do zatopienia elektrycznej maty grzewczej w warstwie pod płytki lub jastrych, cienka warstwa nakładana na m2, standard PL.","Эластичный клей/масса тонким слоем для утапливания электрической нагревательной маты в слое под плитку или стяжку, тонкий слой на м2, стандарт польского рынка."
Gładź gipsowa do łatania bruzd 20kg,Гипсовая шпаклёвка для заделки штроб 20кг,GLADZ_GIPSOWA,Dolina Nidy,PSB Mrówka,"budget,norm,lux",kg,PLN,1.30,2.09,1.70,https://www.atlas.com.pl/produkt/omega/,"karta produktu Omega (linia Dolina Nidy), worek 20 kg, srednie zuzycie ~0.8 kg/m2/mm, cena netto orientacyjna za kg","Sucha gładź gipsowa do wyrównania i łatania bruzd po ułożeniu kabli przed pracami wykończeniowymi, budżetowy standard rynku PL.","Сухая гипсовая шпаклёвка для выравнивания и заделки штроб после укладки кабелей перед отделкой, бюджетный стандарт польского рынка."
Tarcza do bruzdownicy diamentowa fi125,Диск для штробореза алмазный fi125,TARCZA_TNACA,Erbauer,Castorama,"budget,norm,lux",szt,PLN,9.80,15.29,12.43,https://www.castorama.pl,"katalog Castorama tarcza diamentowa do betonu fi125, cena netto orientacyjna za szt","Tarcza diamentowa fi125 do bruzdownicy do wykuwania bruzd kablowych w tynku i żelbecie, materiał zużywalny, we wszystkich pakietach.","Алмазный диск fi125 для штробореза для нарезки кабельных штроб в штукатурке и железобетоне, расходный материал, во всех пакетах."
