name_pl,name_ru,type,producer,seller,packages,unit,currency,purchase_price,retail_gross,retail_net,website,price_source_ref,justification_pl,justification_ru
Grunt uniwersalny CT 17 (odp.),Грунт универсальный (аналог CT 17),GRUNT_UNIWERSALNY,Ceresit,PSB Mrówka,budget,l,PLN,5.20,7.99,6.50,https://www.ceresit.com/products/interoir-finishing/product.html/ceresit-ct-17/SAP_0201JAC014F1.html,"karta produktu Ceresit CT 17, cena netto orientacyjna z katalogu PSB","Typowy budzetowy grunt glebokopenetrujacy bez rozpuszczalnika; anchor Excela dla kategorii, tanszy odpowiednik CT 17.","Типовой бюджетный грунт глубокого проникновения без растворителя; якорь Excel для категории, более дешёвый аналог CT 17."
Atlas Uni-Grunt,Атлас Уни-Грунт,GRUNT_UNIWERSALNY,Atlas,Leroy Merlin,"norm,lux",l,PLN,6.40,9.99,8.12,https://cdn.shopify.com/s/files/1/0916/9050/0443/files/pl_9532_20240506_095608.pdf,"karta techniczna Atlas Uni-Grunt (PDF), cena netto ~8 PLN/l (opak. 5L)","Emulsja gruntujaca na bazie dyspersji zywic polimerowych, typowy wybor dla pakietu norm, gleboko penetruje chlonne podloza.","Грунтующая эмульсия на основе дисперсии полимерных смол, типовой выбор для пакета norm, глубоко проникает в впитывающие основания."
Knauf Universalgrund,Кнауф Универсалгрунд,GRUNT_UNIWERSALNY,Knauf,OBI,lux,l,PLN,6.80,10.49,8.53,https://knauf.com/de-DE/p/produkt/tiefengrund-10144_0010,"karta produktu Knauf (rodzina Tiefengrund/Universalgrund), cena netto orientacyjna (opak. 10L)","Grunt glebokopenetrujacy Knauf na bazie dyspersji, wariant lux o stabilnej jakosci, opak. 10L.","Грунт глубокого проникновения Knauf на основе дисперсии, вариант lux со стабильным качеством, упаковка 10L."
Gładź gipsowa Dolina Nidy Omega 20kg,Гипсовая шпаклёвка Dolina Nidy Omega,GLADZ_GIPSOWA,Dolina Nidy,PSB Mrówka,budget,kg,PLN,1.30,2.09,1.70,https://www.atlas.com.pl/produkt/omega/,"karta produktu Omega (linia Dolina Nidy), sekcja srednie zuzycie ~0.8 kg/m2/mm, worek 20 kg ~34 PLN netto => ~1.7 PLN/kg","Sucha biala gladz gipsowa do rak i maszyn, srednie zuzycie ~0.8 kg/m2/mm wg karty producenta, budzetowy standard rynku PL.","Сухая белая гипсовая шпаклёвка ручного и машинного нанесения, средний расход ~0.8 кг/м2/мм по карте производителя, бюджетный стандарт польского рынка."
Gładź gipsowa Atlas Omega 20kg,Гипсовая шпаклёвка Atlas Omega,GLADZ_GIPSOWA,Atlas,Castorama,budget,kg,PLN,1.45,2.29,1.86,https://www.atlas.com.pl/produkt/omega/,"karta produktu Atlas Omega, sekcja srednie zuzycie ~0.8 kg/m2/mm, worek 20 kg","Biala gipsowa gladz szpachlowa Atlas na bazie gipsu syntetycznego, srednie zuzycie ~0.8 kg/m2/mm, budzetowy analog do scian i sufitow.","Белая гипсовая шпаклёвка Atlas на основе синтетического гипса, средний расход ~0.8 кг/м2/мм, бюджетный аналог для стен и потолков."
Gładź gipsowa Knauf MP Finish 25kg,Гипсовая шпаклёвка Knauf MP Finish,GLADZ_POLIMEROWA,Knauf,OBI,norm,kg,PLN,1.70,2.69,2.19,https://knauf.com/de-DE/p/produkt/multi-finish-10268_0010,"karta produktu Knauf MP/Multi-Finish (gladz gipsowa), worek 25 kg","Gladz gipsowa Knauf do wykonczenia scian i sufitow do standardu Q4, wariant norm o podwyzszonej jakosci powierzchni.","Гипсовая шпаклёвка Knauf для отделки стен и потолков до стандарта Q4, вариант norm с повышенным качеством поверхности."
Gładź polimerowa Śnieżka Acryl-Putz ST20 Start,Полимерная шпаклёвка Śnieżka Acryl-Putz Start,GLADZ_POLIMEROWA,Śnieżka,Leroy Merlin,norm,kg,PLN,2.40,3.79,3.08,https://www.acrylputz.pl/dokumentacja,"karta techniczna ACRYL-PUTZ ST20 START (dokumentacja producenta), cena netto orientacyjna","Sucha polimerowa masa szpachlowa (warstwa startowa) o dobrej przyczepnosci, wariant norm dla scian.","Сухая полимерная шпаклёвочная масса (стартовый слой) с хорошей адгезией, вариант norm для стен."
Gotowa masa szpachlowa Knauf Super Finish 28kg,Готовая шпаклёвка Knauf Super Finish,GLADZ_GOTOWA_MASA,Knauf,Leroy Merlin,lux,kg,PLN,4.10,6.49,5.28,https://knauf.com/de-DE/p/produkt/super-finish-11410_0010,"karta produktu Knauf Super Finish (masa gotowa), wiadro 28 kg","Gotowa pastowa masa szpachlowa na spoiwie polimerowym do gladzi Q3/Q4, wariant lux nakladany cienkimi warstwami.","Готовая пастообразная шпаклёвочная масса на полимерном связующем для Q3/Q4, вариант lux, наносится тонкими слоями."
Gotowa gładź polimerowa Śnieżka Acryl-Putz FS20 Finisz,Готовая полимерная шпаклёвка Śnieżka Acryl-Putz Finisz,GLADZ_GOTOWA_MASA,Śnieżka,Castorama,lux,kg,PLN,3.70,5.89,4.79,https://www.acrylputz.pl/dokumentacja,"karta techniczna ACRYL-PUTZ FS20 FINISZ (dokumentacja producenta), cena netto orientacyjna","Gotowa polimerowa masa finiszowa nakladana cienka warstwa wykonczeniowa, wariant lux dla scian.","Готовая полимерная финишная масса, наносится тонким отделочным слоем, вариант lux для стен."
Papier ścierny arkusz gr.120,Наждачная бумага лист зерно 120,PAPIER_SCIERNY,Erbauer,Castorama,"budget,norm,lux",szt,PLN,0.65,0.99,0.81,https://www.castorama.pl/s/papier-scierny-125mm?Marka=Erbauer,"katalog Castorama papier scierny Erbauer, cena netto za 1 arkusz (opak. wieloszt.)","Arkusz papieru sciernego gradacja 120 do zdzierania tynku/gladzi, material zuzywalny (nie filler) dla prac szlifierskich.","Лист наждачной бумаги зерно 120 для съёма штукатурки/шпаклёвки, расходный материал (не шпаклёвка) для шлифовальных работ."
