work_code,work_pl,work_unit,branch,material_type,material_ref,material_unit,norm_qty,packages,waste_pct,justification_pl,justification_ru,source_type,source_doc,source_url,source_ref
6.01,Transformator do taśmy led,szt,construction,ZLACZKA_INSTALACYJNA,Złączka instalacyjna WAGO 221-413 3x4mm2,szt,2.00,budget,0,Podlaczenie zasilacza/transformatora tasmy LED zuzywa ~2 zlaczki WAGO na strone wej/wyj; zalozenie eksperckie oparte na karcie WAGO 221 (3 zyly na zlaczke).,Подключение блока питания/трансформатора LED-ленты расходует ~2 клеммы WAGO на вход/выход; экспертное допущение по карте WAGO 221 (3 жилы на клемму).,expert,Praktyka wykonawcza + karta WAGO 221-413,https://www.wago.com/at/installationsklemmen/verbindungsklemme-mit-hebeln/p/221-413,"zalozenie ~2 szt/transformator; karta 221-413 (max 4 mm2, 3 zyly)"
6.01,Transformator do taśmy led,szt,construction,ZLACZKA_INSTALACYJNA,Złączka instalacyjna WAGO 221-415 5x4mm2,szt,2.00,"norm,lux",0,Wariant norm/lux; podlaczenie transformatora ~2 zlaczki WAGO 221-415 (5 zyl) dla bardziej rozbudowanych obwodow zasilania tasmy.,Вариант norm/lux; подключение трансформатора ~2 клеммы WAGO 221-415 (5 жил) для более разветвлённых цепей питания ленты.,expert,Praktyka wykonawcza + karta WAGO 221,https://www.wago.com/us/splicing-connectors-221,"zalozenie ~2 szt/transformator; rodzina 221"
6.01,Transformator do taśmy led,szt,construction,WKRET_KOLEK_MONTAZOWY,Wkręt montażowy z kołkiem 6x40,szt,2.00,"budget,norm,lux",0,Zamocowanie zasilacza/transformatora do podloza zuzywa ~2 wkrety z kolkami; zalozenie eksperckie dla lekkiego zasilacza LED.,Крепление блока питания/трансформатора к основанию расходует ~2 винта с дюбелями; экспертное допущение для лёгкого блока питания LED.,expert,Praktyka wykonawcza (mocowanie zasilacza),,zalozenie eksperckie ~2 szt/transformator
6.02,Taśma LED,mb,construction,KLEJ_MONTAZOWY,Klej montażowy do profili LED / taśma dwustronna,l,0.005,budget,0,Tasma LED to fixture (klient); consumable to tasma dwustronna/klej montazowy ~0.005 l/mb do doklejenia tasmy w profilu wg praktyki.,LED-лента - fixture (клиент); расходник - двусторонняя лента/монтажный клей ~0.005 л/пм для приклейки ленты в профиле по практике.,expert,Praktyka wykonawcza (mocowanie tasmy w profilu),https://www.soudal.at/diy/produkte/dichtstoffe/universal/universal-silikon,"zalozenie eksperckie ~5 ml/mb; karta Soudal (dozowanie objetosciowe)"
6.02,Taśma LED,mb,construction,KLEJ_MONTAZOWY,Klej montażowy do profili LED / taśma dwustronna,l,0.006,"norm,lux",0,Wariant norm/lux; nieco wieksze zuzycie kleju/tasmy dwustronnej ~0.006 l/mb dla pewniejszego mocowania tasmy LED.,Вариант norm/lux; чуть больший расход клея/двусторонней ленты ~0.006 л/пм для более надёжного крепления LED-ленты.,expert,Praktyka wykonawcza (mocowanie tasmy w profilu),https://www.soudal.at/diy/produkte/dichtstoffe/universal/universal-silikon,"zalozenie eksperckie ~6 ml/mb; karta Soudal"
6.03,Profil podtynkowy do taśmy LED,mb,construction,KLEJ_MONTAZOWY,Klej montażowy do profili LED / taśma dwustronna,l,0.010,budget,0,Profil to fixture (mb); consumable to klej montazowy ~0.010 l/mb do wklejenia profilu podtynkowego w podloze wg praktyki.,Профиль - fixture (мб); расходник - монтажный клей ~0.010 л/пм для вклейки скрытого профиля в основание по практике.,expert,Praktyka wykonawcza (klejenie profilu podtynkowego),https://www.soudal.at/diy/produkte/dichtstoffe/universal/universal-silikon,"zalozenie eksperckie ~10 ml/mb; karta Soudal (dozowanie objetosciowe)"
6.03,Profil podtynkowy do taśmy LED,mb,construction,WKRET_KOLEK_MONTAZOWY,Wkręt montażowy z kołkiem 6x40,szt,1.00,"norm,lux",0,Wariant norm/lux; profil podtynkowy dodatkowo kotwiony ~1 wkret z kolkiem na mb dla sztywnego montazu przed tynkowaniem.,Вариант norm/lux; скрытый профиль дополнительно крепится ~1 винтом с дюбелем на пм для жёсткого монтажа перед оштукатуриванием.,expert,Praktyka wykonawcza (kotwienie profilu),,zalozenie eksperckie ~1 szt/mb
6.04,Wklejenie i lutowanie taśmy LED w podstopnicy w profil,szt,construction,CYNA_LUTOWNICZA,Cyna lutownicza Cynel LC60 SW26 1mm,kg,0.003,budget,0,Lutowanie zlacza tasmy LED zuzywa ~0.003 kg (3 g) cyny z topnikiem na punkt/sztuke wg praktyki; cyna Cynel SW26 ze spoiwem z topnikiem.,Пайка соединения LED-ленты расходует ~0.003 кг (3 г) припоя с флюсом на точку/штуку по практике; припой Cynel SW26 со встроенным флюсом.,expert,Praktyka wykonawcza + karta Cynel SW26,https://www.manomano.co.uk/p/cynel-professional-solder-wire-60-40-05-3mm-with-flux-sw-26-25-diameter-05mm-weight-100g-reel-22463813,"zalozenie eksperckie ~3 g/szt; karta Cynel 60/40 SW26"
6.04,Wklejenie i lutowanie taśmy LED w podstopnicy w profil,szt,construction,CYNA_LUTOWNICZA,Cyna lutownicza Cynel LC60 SW26 1mm,kg,0.004,"norm,lux",0,Wariant norm/lux; wieksza liczba/pewniejsze punkty lutownicze ~0.004 kg (4 g) cyny na sztuke dla trwalego polaczenia tasmy LED.,Вариант norm/lux; больше/надёжнее точки пайки ~0.004 кг (4 г) припоя на штуку для прочного соединения LED-ленты.,expert,Praktyka wykonawcza + karta Cynel SW26,https://www.manomano.co.uk/p/cynel-professional-solder-wire-60-40-05-3mm-with-flux-sw-26-25-diameter-05mm-weight-100g-reel-22463813,"zalozenie eksperckie ~4 g/szt; karta Cynel 60/40 SW26"
6.04,Wklejenie i lutowanie taśmy LED w podstopnicy w profil,szt,construction,TOPNIK_LUTOWNICZY,Topnik lutowniczy kalafoniowy SW26,kg,0.001,lux,0,Wariant lux; dodatkowy topnik kalafoniowy SW26 ~0.001 kg (1 g) na sztuke dla trudniejszych lutow w podstopnicy.,Вариант lux; дополнительный канифольный флюс SW26 ~0.001 кг (1 г) на штуку для сложной пайки в подступёнке.,expert,Praktyka wykonawcza (dodatkowy topnik),https://ovolt.eu/pt/products/cyna-1-00-1-kg-spoiwo-lc60-sw26-1066961,"zalozenie eksperckie ~1 g/szt; spoiwo LC60 SW26"
6.04,Wklejenie i lutowanie taśmy LED w podstopnicy w profil,szt,construction,KLEJ_MONTAZOWY,Klej montażowy do profili LED / taśma dwustronna,l,0.004,"budget,norm,lux",0,Wklejenie tasmy w profil w podstopnicy zuzywa ~0.004 l kleju/tasmy dwustronnej na sztuke odcinka wg praktyki.,Вклейка ленты в профиль в подступёнке расходует ~0.004 л клея/двусторонней ленты на штуку отрезка по практике.,expert,Praktyka wykonawcza (wklejenie tasmy),https://www.soudal.at/diy/produkte/dichtstoffe/universal/universal-silikon,"zalozenie eksperckie ~4 ml/szt; karta Soudal"
6.05,Oprawy sufitowe lub kinkiety jednopunktowe,szt,construction,ZLACZKA_INSTALACYJNA,Złączka instalacyjna WAGO 221-413 3x4mm2,szt,2.00,budget,0,"Oprawa jest fixture (klient); consumable to ~2 zlaczki WAGO 221-413 na podlaczenie jednopunktowej oprawy/kinkietu (L, N + PE wg potrzeby).","Светильник - fixture (клиент); расходник - ~2 клеммы WAGO 221-413 на подключение одноточечного светильника/бра (L, N + PE при необходимости).",expert,Praktyka wykonawcza + karta WAGO 221-413,https://www.wago.com/at/installationsklemmen/verbindungsklemme-mit-hebeln/p/221-413,"zalozenie ~2 szt/oprawa; karta 221-413"
