work_code,work_pl,work_unit,branch,material_type,material_ref,material_unit,norm_qty,packages,waste_pct,justification_pl,justification_ru,source_type,source_doc,source_url,source_ref
1.01,Zabezpieczenie na czas prac okien drzwi drogi transportu,m2,construction,FOLIA_OCHRONNA,Folia ochronna malarska HDPE,m2,0.10,"budget,norm,lux",0,Zabezpieczenie zuzywa ~0.10 m2 folii na 1 m2 chronionej powierzchni; anchor Excela 0.10 szt/m2 znormalizowany do m2 folii.,Защита расходует ~0.10 м2 плёнки на 1 м2 защищаемой поверхности; якорь Excel 0.10 шт/м2 нормализован в м2 плёнки.,excel,Excel Matrix v3.0 Oferta,,"wiersz 1.01 arkusza Oferta, kolumna folia ochronna 0.10"
1.01,Zabezpieczenie na czas prac okien drzwi drogi transportu,m2,construction,TEKTURA_OCHRONNA,Tektura falista malarska ochronna,m2,0.10,"budget,norm,lux",0,Zabezpieczenie posadzek/progow zuzywa ~0.10 m2 tektury na 1 m2; anchor Excela 0.10 tektura malarska.,Защита полов/порогов расходует ~0.10 м2 картона на 1 м2; якорь Excel 0.10 малярный картон.,excel,Excel Matrix v3.0 Oferta,,"wiersz 1.01 arkusza Oferta, kolumna tektura malarska 0.10"
1.01,Zabezpieczenie na czas prac okien drzwi drogi transportu,m2,construction,TASMA_MALARSKA,Taśma malarska papierowa 38mm,szt,0.10,"budget,norm,lux",0,Mocowanie folii i ochrona krawedzi zuzywa ~0.10 rolki tasmy malarskiej na 1 m2; anchor Excela 0.10 tasma malarska (rolka=szt).,Крепление плёнки и защита кромок расходует ~0.10 ленты на 1 м2; якорь Excel 0.10 малярная лента (рулон=шт).,excel,Excel Matrix v3.0 Oferta,,"wiersz 1.01 arkusza Oferta, kolumna tasma malarska 0.10"
1.01,Zabezpieczenie na czas prac okien drzwi drogi transportu,m2,construction,TASMA_TYNKARSKA,Taśma tynkarska zewnętrzna 48mm,szt,0.20,"norm,lux",0,Wariant norm/lux; solidniejsze zabezpieczenie oscieznic zuzywa ~0.20 rolki tasmy tynkarskiej na 1 m2; anchor Excela 0.20 tasma tynkarska (rolka=szt).,Вариант norm/lux; более прочная защита откосов расходует ~0.20 ленты на 1 м2; якорь Excel 0.20 штукатурная лента (рулон=шт).,excel,Excel Matrix v3.0 Oferta,,"wiersz 1.01 arkusza Oferta, kolumna tasma tynkarska 0.20"
1.01,Zabezpieczenie na czas prac okien drzwi drogi transportu,m2,construction,NAROZNIK_OCHRONNY,Narożnik papierowy ochronny,szt,0.20,"norm,lux",0,Wariant norm/lux; ochrona naroznikow oscieznic i naroz scian zuzywa ~0.20 szt naroznika na 1 m2; anchor Excela 0.20 narozniki papierowe.,Вариант norm/lux; защита углов откосов и стен расходует ~0.20 шт уголка на 1 м2; якорь Excel 0.20 картонные уголки.,excel,Excel Matrix v3.0 Oferta,,"wiersz 1.01 arkusza Oferta, kolumna narozniki papierowe 0.20"
1.02,Rozbiórki ściany murowanej,m2,construction,WOREK_NA_GRUZ,Worek na gruz big bag 1m3,szt,0.35,"budget,norm,lux",0,"Rozbiorka 1 m2 sciany murowanej daje gruz wymagajacy ~0.35 worka big bag 1m3 (sciana ~0.12m ~0.12 m3/m2, worek ~1m3 przy zaladunku ~0.35); zalozenie eksperckie.","Демонтаж 1 м2 кирпичной стены даёт мусор ~0.35 биг-бэга 1м3 (стена ~0.12м ~0.12 м3/м2, при загрузке ~0.35); экспертное допущение.",expert,Praktyka wykonawcza (material zuzywalny na wynoszenie gruzu),,zalozenie eksperckie ~0.35 szt/m2 na gromadzenie gruzu; brak normy Excel
1.02,Rozbiórki ściany murowanej,m2,construction,TARCZA_TNACA,Tarcza diamentowa do cięcia 125mm,szt,0.05,budget,0,Ciecie muru przy rozbiorce zuzywa material scierny; ~0.05 tarczy diamentowej 125mm na 1 m2 wg zuzycia przy twardym materiale (zalozenie eksperckie).,Резка кладки при демонтаже расходует абразив; ~0.05 алмазного диска 125мм на 1 м2 по износу на твёрдом материале (экспертное допущение).,expert,Praktyka wykonawcza (material scierny zuzywalny),,zalozenie eksperckie ~0.05 szt/m2; SKU tarczy 125mm
1.02,Rozbiórki ściany murowanej,m2,construction,TARCZA_TNACA,Tarcza diamentowa segmentowa 125mm,szt,0.04,"norm,lux",0,"Wariant norm/lux; wytrzymalsza tarcza segmentowa Rubi zuzywa ~0.04 szt na 1 m2 ciecia muru (dluzsza zywotnosc, zalozenie eksperckie).","Вариант norm/lux; более стойкий сегментный диск Rubi расходует ~0.04 шт на 1 м2 резки кладки (больший ресурс, экспертное допущение).",expert,Praktyka wykonawcza (material scierny zuzywalny),,zalozenie eksperckie ~0.04 szt/m2; SKU tarczy segmentowej 125mm
1.03,Naprawa posadzek i stropu po pracach wyburzeniowych,mb,construction,ZAPRAWA_NAPRAWCZA,Zaprawa wyrównująco-naprawcza Atlas ZW 330 25kg,kg,4.00,"budget,norm,lux",0,"Naprawa pasa posadzki/stropu po wyburzeniu zuzywa ~4.0 kg/mb zaprawy ZW 330; karta podaje ~1.5 kg/m2/mm, pas ~0.2m przy ubytku ~13mm daje ~4 kg/mb.","Ремонт полосы пола/перекрытия после демонтажа расходует ~4.0 кг/пм раствора ZW 330; карта даёт ~1.5 кг/м2/мм, полоса ~0.2м при выемке ~13мм даёт ~4 кг/пм.",producer_tds,Atlas ZW 330 — Karta produktu,https://www.atlas.com.pl/de/produkt/atlas-zw-330/,sekcja Zuzycie/Verbrauch (~1.5 kg/m2/mm)
1.03,Naprawa posadzek i stropu po pracach wyburzeniowych,mb,construction,GRUNT_UNIWERSALNY,Grunt uniwersalny CT 17 (odp.),l,0.03,"budget,norm,lux",0,"Gruntowanie pasa naprawy przed zaprawa zuzywa ~0.03 l/mb gruntu (pas ~0.2m, ~0.15 l/m2); przygotowanie podloza dla przyczepnosci.","Грунтование полосы ремонта перед раствором расходует ~0.03 л/пм грунта (полоса ~0.2м, ~0.15 л/м2); подготовка основания для адгезии.",producer_tds,Ceresit CT 17 — Karta produktu,https://www.ceresit.com/products/interoir-finishing/product.html/ceresit-ct-17/SAP_0201JAC014F1.html,sekcja Zuzycie (~0.1-0.2 l/m2)
