LP,ZAKRES,ПЕРЕЧЕНЬ РАБОТ,ILOŚĆ,JM,CENA,WARTOŚĆ,KOMENTARZ,,ZMIANA +/-,CENA DOP,JM,WARTOŚĆ,KOMENTARZ,,FINAŁ,JM,WARTOŚĆ,,Progres,%,Wart Progres,,przedp,hol,kuch,salon,biuro,master,pok1,pok2,pok3,laz1,laz2,laz3,sch1,,PAKIET START,PAKIET COMFORT,PAKIET PRESTIGE,JM,WARTOŚĆ START,WARTOŚĆ COMFORT,WARTOŚĆ PRESTIGE,,MATERIAŁ 1,NA JM,ILOŚĆ,MATERIAŁ 2,NA JM,ILOŚĆ,MATERIAŁ 3,NA JM,ILOŚĆ,MATERIAŁ 4,NA JM,ILOŚĆ,MATERIAŁ 5,NA JM,ILOŚĆ,,Zakres,Cena J,J,Umowa il,Ilość,Wykonane il,KOM,,Marż J,Koszt Umowa,Profit Umowa,Marż W Umowa,Kwota,Profit Plan,Marż W Plan,Koszt Fakt,Profit Fakt,Marż W Fakt,,Pracownik,2024-09-05,Pracownik,2024-09-12,Pracownik,2024-09-19,Pracownik,2024-09-26,Pracownik,2024-10-03,Pracownik,2024-10-10,Pracownik,2024-10-17,Pracownik,2024-10-24,Pracownik,2024-10-31,Pracownik,2024-11-07,Pracownik,2024-11-14,Pracownik,2024-11-21,Pracownik,2024-11-28,Pracownik,2024-12-05,Pracownik,2024-12-12,Pracownik,2024-12-19
1,Inwestycja: ,,,,,"0,00 zł",SUMA OFERTY NETTO,,RMS,FALSE,,"0,00 zł",SUMA FINAL,,,KWOTA FINAL,"0,00 zł",,,0%,"6 773,80 zł",,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 zł","0,00 zł",0%,"0,00 zł","0,00 zł",0%,"2 460,00 zł","-2 460,00 zł",0%,,1,2024-09-11,2,2024-09-18,3,2024-09-25,4,2024-10-02,5,2024-10-09,6,2024-10-16,7,2024-10-23,8,2024-10-30,9,2024-11-06,10,2024-11-13,11,2024-11-20,12,2024-11-27,13,2024-12-04,14,2024-12-11,15,2024-12-18,16,2024-12-25
1,"PRACE WSTĘPNE, DEMONTAŻE","ПОДГОТОВИТЕЛЬНЫЕ РАБОТЫ, ДЕМОНТАЖИ",,,,"0,00 zł",,,,,,"0,00zł","0,00 zł",,,,"0,00zł",,,0%,"6 773,80zł",,0 zł,0 zł,0 zł,0 zł,0 zł,0 zł,0 zł,0 zł,0 zł,0 zł,0 zł,0 zł,0 zł,,,,,,"0,00zł","0,00zł","0,00zł",,,,,,,,,,,,,,,,,,"ПОДГОТОВИТЕЛЬНЫЕ РАБОТЫ, ДЕМОНТАЖИ",,,,,,,,,"0,00zł","0,00zł",0%,"0,00zł","0,00zł",0%,"2 460,00zł","-2 460,00zł",-246000%,,,"6 773,80 zł",,"0,00 zł",,"0,00 zł",,"0,00 zł",,"0,00 zł",,"0,00 zł",,"0,00 zł",,"0,00 zł",,"0,00 zł",,"0,00 zł",,"0,00 zł",,"0,00 zł",,"0,00 zł",,"0,00 zł",,"0,00 zł",,"0,00 zł"
"1,01","Zabezpieczenie na czas prac okien, drzwi, drogi transportu","Защита во время работы (окна, двери, транспортные пути)","0,0",m2,"9,90 zł","0,00 zł",,,,"9,90 zł",m2,"0,00 zł",,,"0,0",m2,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,"0,00","0,00","0,00",m2,"0,00 zł","0,00 zł","0,00 zł",,"Folia ochronna samoprzylepna 60cmx50m, szt","0,10","0,00","Tektura malarska 1x15m, szt","0,10","0,00",Taśma malarska,"0,10","0,00","Taśma tynkarska 48mmx50m, szt","0,20","0,00","Narożniki papierowe 1m, szt","0,20","0,00",,"Защита во время работы (окна, двери, транспортные пути)","3,50 zł",m2,"0,0","0,0","0,0",,,65%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,02",Rozbiórki ściany murowanej,Снос кирпичной стены,"0,0",m2,"163,90 zł","0,00 zł",z wynoszeniem,,,"163,90 zł",m2,"0,00 zł",,,"0,0",m2,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,,m2,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Снос кирпичной стены,"65,00 zł",m2,"0,0","0,0","0,0",,,60%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,03",Naprawa posadzek i stropu po pracach wyburzeniowych,Заделка пола и потолка после демонтажных работ,"0,0",mb,"86,90 zł","0,00 zł",,,,"86,90 zł",mb,"0,00 zł",,,"0,0",mb,"0,00 zł",,"2,0",200%,"173,8",,,,,,,,,,,,,,,,,,,mb,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Заделка пола и потолка после демонтажных работ,"30,00 zł",mb,"0,0","0,0","2,0",,,65%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"60,00 zł",-60 zł,#DIV/0!,,,"2,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,04",Wentylacja - relokacja otworów,Вентиляция - перенос отверстий,"0,0",kpl,"275,00 zł","0,00 zł",,,,"275,00 zł",kpl,"0,00 zł",,,"0,0",kpl,"0,00 zł",,"12,0",1200%,"3300,0",,,,,,,,,,,,,,,,,,,kpl,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Вентиляция - перенос отверстий,"100,00 zł",kpl,"0,0","0,0","12,0",,,64%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"1 200,00 zł",-1 200 zł,#DIV/0!,,,"12,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,05",Wentylacja - poszerzenie otworu,Вентиляция - расширение отверстия,"0,0",kpl,"220,00 zł","0,00 zł",,,,"220,00 zł",kpl,"0,00 zł",,,"0,0",kpl,"0,00 zł",,"15,0",1500%,"3300,0",,,,,,,,,,,,,,,,,,,kpl,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Вентиляция - расширение отверстия,"80,00 zł",kpl,"0,0","0,0","15,0",,,64%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"1 200,00 zł",-1 200 zł,#DIV/0!,,,"15,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,06",Wentylacja - dostosowanie (wydłużenie kanału),Вентиляция - регулировка (удлинение воздуховода),"0,0",kpl,"385,00 zł","0,00 zł",do 4 mb,,,"385,00 zł",kpl,"0,00 zł",,,"0,0",kpl,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,,kpl,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Вентиляция - регулировка (удлинение воздуховода),"150,00 zł",kpl,"0,0","0,0","0,0",,,61%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,07",Naprawa ścian i stropów po bruzdowania po firmie zewnętrznej,"Заделка стен и потолков после штробы, выполненной сторонней компанией","0,0",mb,"66,00 zł","0,00 zł",Dotyczy instalacji klimatyzacji,,,"66,00 zł",mb,"0,00 zł",,,"0,0",mb,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,,mb,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,"Заделка стен и потолков после штробы, выполненной сторонней компанией","25,00 zł",mb,"0,0","0,0","0,0",,,62%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,08",Wyburzenie posadzki cementowej z wynoszeniem,Разбитие и вынос стяжки,"0,0",m2,"55,00 zł","0,00 zł",,,,"55,00 zł",m2,"0,00 zł",,,"0,0",m2,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,,m2,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Разбитие и вынос стяжки,"20,00 zł",m2,"0,0","0,0","0,0",,,64%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
